ID,item,item_number,estimate,example_sentence,repetition,order,platform,list,gender,age,country,education,L1,monoling,sight,children,child_age,time,time_sum,finished,violation
246,becher,,2,Ronja gibt jedem Kind einen Becher mit Saft.,0,5,Prolific,C,female,25,Germany,9,1,1,normal,0,[],13,1327,1,0
246,reis,,4,Zum Mittagessen gibt es Hühnerfrikassee mit Reis.,0,6,Prolific,C,female,25,Germany,9,1,1,normal,0,[],7,1327,1,0
246,zeugnis,,6,Am Ende des Schuljahres erhält jedes Kind sein Zeugnis.,0,7,Prolific,C,female,25,Germany,9,1,1,normal,0,[],8,1327,1,0
246,komma,,7,"Das Komma ist ein Interpunktionszeichen, das die grammatische Gliederung eines Satzes verdeutlicht.",0,2,Prolific,C,female,25,Germany,9,1,1,normal,0,[],12,1327,1,0
246,kloster,,5,Die Nonne lebt in einem Kloster.,0,8,Prolific,C,female,25,Germany,9,1,1,normal,0,[],5,1327,1,0
246,solo,,10,Die Pianistin spielt ein Solo.,0,3,Prolific,C,female,25,Germany,9,1,1,normal,0,[],9,1327,1,0
246,seuche,,12,"Ansteckende Infektionskrankheiten, die sich schnell ausbreiten, nennt man auch Seuche.",0,10,Prolific,C,female,25,Germany,9,1,1,normal,0,[],7,1327,1,0
246,reaktor,,13,"Ein Atomkraftwerk hat oft mehrere Reaktoren, in denen Kernspaltungen ablaufen, um elektrische Energie zu gewinnen.",0,1,Prolific,C,female,25,Germany,9,1,1,normal,0,[],35,1327,1,0
246,hypothek,,12,"Eine Hypothek ist ein Kredit, den man bekommt, weil man dem Geldgeber zum Beispiel eine Immobilie als Pfand bieten kann.",0,4,Prolific,C,female,25,Germany,9,1,1,normal,0,[],9,1327,1,0
246,dozent,,12,Der Dozent hält einen Vortrag.,0,9,Prolific,C,female,25,Germany,9,1,1,normal,0,[],6,1327,1,0
246,schulter,5,2,Ronja legt sich ein Tuch um die Schultern.,0,284,Prolific,C,female,25,Germany,9,1,1,normal,0,[],3,1327,1,0
246,kinn,6,2,Der Mann rasiert sich am Kinn.,0,94,Prolific,C,female,25,Germany,9,1,1,normal,0,[],3,1327,1,0
246,dusche,9,2,Ronja macht das Wasser in der Dusche an.,0,17,Prolific,C,female,25,Germany,9,1,1,normal,0,[],5,1327,1,0
246,meerjungfrau,12,3,Die Meerjungfrau schwimmt im Ozean.,0,283,Prolific,C,female,25,Germany,9,1,1,normal,0,[],3,1327,1,0
246,loewe,15,2,Der Löwe jagt eine Gazelle in der Savanne.,0,122,Prolific,C,female,25,Germany,9,1,1,normal,0,[],3,1327,1,0
246,jaeger,16,3,Der Jäger erlegt seine Beute mit dem Gewehr.,0,195,Prolific,C,female,25,Germany,9,1,1,normal,0,[],3,1327,1,0
246,teufel,17,3,Der Teufel lacht diabolisch.,0,85,Prolific,C,female,25,Germany,9,1,1,normal,0,[],3,1327,1,0
246,skelett,20,4,Das menschliche Skelett besteht aus über 200 Knochen.,0,121,Prolific,C,female,25,Germany,9,1,1,normal,0,[],5,1327,1,0
246,boxer,21,4,Der Boxer trainiert für den Wettkampf.,0,138,Prolific,C,female,25,Germany,9,1,1,normal,0,[],3,1327,1,0
